id,director_id,genre,prob
151,27237,Mystery,0.25
152,55854,Documentary,0.6
153,3621,Short,0.4
154,47215,Musical,0.333333
155,31380,Documentary,1
156,81090,Romance,0.2
157,73794,Short,1
158,75198,Family,1
159,8190,Sci-Fi,0.1
160,79443,Family,0.5
161,77707,Short,1
162,31657,Drama,1
163,28738,Crime,0.047619
164,27894,Comedy,0.333333
165,83180,War,0.125
166,2274,Drama,0.454545
167,73920,Fantasy,0.111111
168,48494,Music,0.333333
169,68684,Comedy,1
170,43889,Short,1
171,10925,Short,0.25
172,80399,Documentary,1
173,64118,Short,1
174,36771,Adventure,0.25
175,69735,Adventure,1
176,22664,Short,1
177,20691,War,0.0666667
178,60052,Comedy,1
179,37378,Horror,1
180,33208,Thriller,0.25
181,76486,Action,0.4
182,6195,Comedy,0.2
183,81649,Musical,0.153846
184,61088,Musical,0.2
185,47498,Music,1
186,85137,Fantasy,0.5
187,55296,Short,1
188,4157,Thriller,0.111111
189,68605,Drama,1
190,10890,Documentary,0.631579
191,80281,Comedy,0.125
192,10324,Romance,0.5
193,68157,Fantasy,0.333333
194,31064,Drama,1
195,51051,Short,1
196,76036,Comedy,0.25
197,58346,Thriller,1
198,47533,Romance,0.545455
199,22179,Comedy,1
200,1439,Short,1
201,30885,Romance,0.166667
202,18234,Family,0.0625
203,43269,Adventure,0.111111
204,17173,Adult,1
205,22797,Thriller,0.25
206,29459,Documentary,0.5
207,5926,Drama,0.666667
208,38890,Drama,0.133333
209,45217,Short,1
210,16345,Comedy,0.1
211,63844,Horror,1
212,3763,Short,1
213,9660,Romance,0.4
214,45944,Animation,1
215,38558,Drama,1
216,42311,Adult,0.105263
217,70913,Documentary,1
218,37949,Documentary,1
219,69359,Short,1
220,16822,Sci-Fi,1
221,5742,Horror,0.025974
222,64304,Mystery,0.5
223,28237,Short,1
224,71190,Drama,0.5
225,32150,Short,1
226,36242,Comedy,1
227,67277,Drama,0.666667
228,46771,Documentary,0.0769231
229,75435,Drama,1
230,50297,Drama,0.642857
231,58455,Drama,0.5
232,44400,Comedy,0.666667
233,86682,Adult,1
234,66945,Drama,1
235,53718,Adult,1
236,31212,Horror,0.5
237,54542,Drama,0.333333
238,78524,Adult,1
239,21578,Drama,0.5
240,15170,Short,1
241,67680,Drama,1
242,67285,Comedy,0.5
243,20819,Family,0.333333
244,34321,Comedy,1
245,22313,Drama,0.375
246,18813,Thriller,0.25
247,33443,Documentary,1
248,61387,Mystery,0.0222222
249,30471,Drama,1
250,71198,Comedy,0.315789
251,32743,Short,1
252,41933,Documentary,0.5
253,26226,Drama,0.4
254,82813,Fantasy,0.015873
255,66050,Adult,1
256,811,Action,1
257,61277,Family,1
258,16556,Horror,0.4
259,48727,Short,1
260,70418,Romance,1
261,38999,War,0.142857
262,87151,Musical,0.296296
263,82937,Comedy,1
264,5333,Drama,0.25
265,85604,Short,1
266,77841,Animation,1
267,49980,Mystery,0.333333
268,22036,Documentary,1
269,36352,Music,0.0434783
270,68956,Short,1
271,38684,Documentary,0.333333
272,37238,Comedy,1
273,36178,Adventure,0.222222
274,38316,Short,1
275,20141,Thriller,0.166667
276,65079,Documentary,1
277,32115,Documentary,1
278,83683,Short,1
279,18411,Sci-Fi,0.5
280,22682,Western,1
281,42561,Short,0.0212766
282,1107,Short,1
283,12827,Drama,0.333333
284,25913,Short,1
285,53617,Drama,0.115385
286,23808,Musical,0.2
287,40605,Documentary,1
288,3728,Documentary,1
289,49704,Drama,1
290,4337,Drama,0.0526316
291,38774,Fantasy,0.04
292,34197,Fantasy,0.0384615
293,77814,Action,0.1875
294,83675,Sci-Fi,0.030303
295,54943,Crime,0.181818
296,84265,Comedy,1
297,51301,Comedy,0.583333
298,1364,Mystery,0.102564
299,86932,Short,0.333333
300,5934,Comedy,1
301,11652,Romance,0.25
302,54426,Fantasy,0.5
303,28147,Drama,1
304,15853,War,0.166667
305,63804,Western,0.0277778
306,37356,Documentary,0.5
307,24234,Drama,0.555556
308,42811,Comedy,1
309,36099,Documentary,1
310,86047,Sci-Fi,1
311,24395,Short,1
312,29300,Mystery,0.107143
313,69533,Fantasy,0.2
314,40774,Romance,1
315,24969,Drama,0.666667
316,86984,Drama,1
317,35414,Animation,1
318,25038,Crime,1
319,59498,Music,0.0454545
320,40344,Documentary,0.333333
321,75633,Comedy,0.166667
322,44624,Short,1
323,77480,Adult,0.0416667
324,18955,Thriller,1
325,57601,Drama,1
326,34179,Comedy,1
327,44589,Documentary,1
328,24637,Drama,0.5
329,38424,Comedy,1
330,81833,Short,1
331,40379,Short,1
332,85746,Short,1
333,11660,Short,1
334,3744,Drama,0.666667
335,44866,Drama,1
336,87734,Mystery,0.047619
337,11902,Drama,0.285714
338,62747,Music,1
339,53356,Drama,0.333333
340,40047,Short,1
341,14967,Horror,1
342,60909,Sci-Fi,1
343,61514,Drama,1
344,49111,Drama,1
345,28565,Adventure,0.2
346,32810,Adventure,0.0232558
347,21929,Short,1
348,54893,Short,0.333333
349,13990,Musical,0.166667
350,67870,Drama,0.75
351,83675,Romance,0.030303
352,8827,Documentary,1
353,49380,Comedy,1
354,76028,Drama,1
355,20842,Music,1
356,17684,Short,0.5
357,84518,Drama,0.529412
358,67027,Romance,0.1
359,84600,Sci-Fi,0.25
360,54561,Short,1
361,87450,Adventure,0.333333
362,80023,Sci-Fi,0.0188679
363,51291,Crime,0.5
364,9687,War,0.0555556
365,32969,Action,0.5
366,58086,Animation,0.5
367,4949,Short,1
368,55204,Crime,0.4
369,34395,Romance,0.0625
370,1431,Romance,0.111111
371,88168,Crime,1
372,4680,Romance,0.272727
373,54803,Drama,1
374,9436,Drama,1
375,8691,War,0.0769231
376,42400,Drama,1
377,70545,Short,1
378,63293,Drama,1
379,82948,Short,0.2
380,33336,Short,1
381,42068,Drama,0.4
382,50558,Drama,0.833333
383,11175,Comedy,0.4
384,29091,Short,1
385,62055,Short,1
386,77340,Action,0.5
387,38305,Comedy,0.333333
388,56221,Short,1
389,66542,Drama,1
390,52478,Music,0.2
391,29665,Drama,0.2
392,51976,Short,1
393,74273,Family,0.2
394,72366,War,0.25
395,46463,Comedy,1
396,1096,Comedy,1
397,25420,Drama,0.6
398,22925,Short,1
399,73861,Mystery,0.111111
400,81877,Adventure,1
401,5109,Western,0.144928
402,12036,Adventure,0.461538
403,58029,Musical,0.1
404,45470,Romance,0.666667
405,88521,Short,1
406,58202,Comedy,1
407,2032,Short,1
408,67789,War,0.272727
409,6920,Crime,0.2
410,86439,Drama,0.459459
411,29056,Documentary,1
412,30751,Short,1
413,70346,Thriller,0.25
414,57209,Romance,0.25
415,66265,Documentary,1
416,3436,Family,1
417,1700,Short,1
418,78668,Documentary,1
419,32582,Drama,0.0125
420,73704,Drama,0.333333
421,85680,Family,1
422,49949,Documentary,1
423,72043,Music,1
424,12503,Comedy,0.1
425,4582,Documentary,1
426,21655,Horror,1
427,79429,Thriller,1
428,85000,Comedy,0.5
429,23518,Short,1
430,76510,Comedy,0.4
431,69683,Romance,0.333333
432,80956,Short,1
433,85844,Crime,1
434,28463,Documentary,1
435,61427,Documentary,1
436,9261,Mystery,0.0689655
437,70194,Drama,1
438,42225,Mystery,0.333333
439,10582,Comedy,1
440,24746,War,0.5
441,57142,Adventure,1
442,57612,Romance,1
443,61387,Adventure,0.0444444
444,7181,Crime,0.1
445,80624,Short,0.166667
446,49454,Romance,0.142857
447,72466,Short,1
448,65867,Western,0.075
449,59530,Comedy,1
450,31012,Short,1
451,76379,Short,0.1875
452,64872,War,0.2
453,76,Documentary,1
454,32985,Drama,0.727273
455,67889,Short,1
456,62592,Animation,1
457,74107,Drama,1
458,61704,Drama,0.6
459,33235,Western,0.5
460,51241,Short,1
461,26234,Comedy,0.333333
462,80439,Family,0.333333
463,65438,Romance,1
464,4321,Documentary,1
465,54953,Comedy,1
466,60042,Crime,0.25
467,9586,Comedy,0.0337079
468,13831,Comedy,1
469,51884,Crime,0.25
470,35581,Sci-Fi,0.5
471,28229,Romance,1
472,53364,Comedy,1
473,43221,Mystery,0.0666667
474,7997,Comedy,1
475,41952,Fantasy,0.5
476,77356,Drama,0.833333
477,55522,Documentary,1
478,47324,Adventure,0.5
479,31620,Animation,1
480,7515,Drama,1
481,49119,Comedy,0.666667
482,16155,Comedy,1
483,68866,Drama,0.125
484,40629,Comedy,0.5
485,23499,Drama,1
486,44874,Comedy,1
487,45075,Short,1
488,7331,Horror,0.0666667
489,1848,Musical,0.333333
490,3420,Comedy,1
491,81952,Short,1
492,73111,Drama,1
493,7866,Short,0.666667
494,40297,Comedy,1
495,18411,Romance,0.5
496,77506,Comedy,1
497,31712,Documentary,0.380952
498,41141,Crime,0.142857
499,20727,Fantasy,0.5
500,61059,Short,1
501,88669,Musical,1
502,19605,Short,1
503,64527,Musical,0.5
504,81324,Documentary,1
505,48360,Documentary,1
506,79111,Family,0.25
507,43396,Drama,1
508,64771,Comedy,0.75
509,70621,Family,0.333333
510,81284,Adventure,0.333333
511,7238,Documentary,1
512,6519,Drama,0.125
513,27562,Comedy,0.666667
514,15159,Comedy,1
515,19262,Comedy,0.5
516,25639,Horror,0.111111
517,39644,Short,0.111111
518,60861,Sci-Fi,0.0434783
519,85011,Short,0.0588235
520,52621,Drama,1
521,7254,Drama,0.5
522,57568,War,0.157895
523,50241,Mystery,0.25
524,27420,Comedy,1
525,11499,Drama,0.111111
526,65240,Fantasy,0.142857
527,72636,Music,1
528,68758,Romance,1
529,31154,Short,1
530,40195,Musical,0.35
531,2282,Comedy,0.2
532,81340,Drama,0.711538
533,68031,Short,1
534,38334,Western,0.0833333
535,26909,Short,1
536,64360,Drama,1
537,79828,Horror,1
538,76336,Family,0.5
539,78225,Adventure,0.0392157
540,36343,War,0.111111
541,39554,Drama,1
542,67762,Romance,0.0952381
543,6645,Documentary,0.8
544,2677,Drama,1
545,14174,Short,1
546,52344,Documentary,0.5
547,5684,Short,0.0454545
548,28456,Musical,1
549,41915,Western,0.333333
550,26542,Action,1
551,68273,Drama,0.333333
552,34403,Short,1
553,79770,Short,1
554,46806,Short,1
555,8008,Short,0.5
556,40972,Short,1
557,73936,Short,1
558,18329,Drama,0.533333
559,9744,Family,0.111111
560,10171,Drama,1
561,28748,Comedy,0.1875
562,2568,Thriller,0.166667
563,32482,Short,0.166667
564,80899,Thriller,0.111111
565,36953,Action,0.1
566,38131,Family,1
567,80012,Drama,0.5
568,57135,Comedy,0.25
569,1681,Drama,1
570,7855,Comedy,0.25
571,75767,Drama,0.653846
572,50415,Music,1
573,58787,Drama,1
574,38281,Documentary,1
575,23660,Short,1
576,462,War,0.333333
577,6738,Horror,1
578,81609,Comedy,0.5
579,63032,Drama,1
580,77464,Western,0.230769
581,7012,Short,1
582,17333,Drama,0.375
583,19415,Short,0.5
584,62423,Action,1
585,11257,Short,1
586,46205,Romance,0.268293
587,81474,Adventure,0.137931
588,2767,Short,0.333333
589,73730,Fantasy,0.125
590,1357,Comedy,1
591,16822,Animation,1
592,36988,Short,1
593,79117,Adult,0.964286
594,29225,Animation,1
595,71925,Drama,0.529412
596,26558,Drama,0.26087
597,54292,Sci-Fi,0.142857
598,53699,Animation,1
599,66953,Comedy,0.333333
600,54945,Drama,1
601,54550,Comedy,0.727273
602,74508,Crime,0.0909091
603,72391,Adventure,0.135135
604,30292,Romance,0.12381
605,52972,Short,1
606,82170,Family,0.5
607,46178,Documentary,0.666667
608,11850,Short,1
609,70263,Crime,0.0333333
610,16738,Crime,0.444444
611,54668,Documentary,1
612,21254,Comedy,0.5
613,87577,Drama,1
614,9246,Drama,1
615,83664,Drama,0.333333
616,7273,Short,1
617,41815,Comedy,0.0294118
618,25949,Documentary,0.5
619,756,Drama,1
620,82002,Crime,0.0769231
621,74842,Drama,0.428571
622,82605,Comedy,0.222222
623,74447,Comedy,0.5
624,79806,Documentary,1
625,3671,Crime,1
626,30553,Animation,1
627,53949,Drama,0.333333
628,81016,Comedy,0.666667
629,75193,Short,1
630,3396,Documentary,1
631,3493,Thriller,0.666667
632,39562,Comedy,1
633,92,Drama,0.5
634,17423,Short,1
635,22914,Comedy,1
636,41214,Drama,1
637,62790,Short,1
638,61596,Romance,0.0526316
639,12643,Horror,1
640,31966,Musical,0.285714
641,66703,Short,0.375
642,20474,Romance,0.0181818
643,13178,Short,0.5
644,22582,Comedy,1
645,50055,Short,1
646,7363,War,0.0833333
647,7973,Documentary,1
648,28479,Drama,0.25
649,27636,Romance,0.181818
650,12218,Documentary,0.142857
651,12846,Short,1
652,32392,Drama,1
653,63185,Animation,1
654,80020,Comedy,0.125
655,61111,Drama,1
656,41233,Short,0.5
657,71530,Comedy,0.6
658,111,Short,0.4
659,78442,Short,0.0588235
660,9062,Horror,0.2
661,87659,Animation,1
662,68731,Action,0.666667
663,1547,Comedy,1
664,77221,Documentary,1
665,44925,Sci-Fi,0.166667
666,77749,War,0.2
667,66091,Drama,1
668,21142,Mystery,0.0322581
669,21125,Crime,0.285714
670,85711,Documentary,1
671,33459,Drama,0.833333
672,69023,Adventure,0.25
673,57090,Romance,0.166667
674,53114,Short,1
675,65517,Short,1
676,70004,Drama,1
677,16479,Drama,0.25
678,6552,Thriller,0.230769
679,71388,Comedy,0.875
680,64322,Thriller,1
681,53757,Crime,0.4
682,36435,Sci-Fi,0.125
683,88796,Thriller,0.0384615
684,49264,Romance,1
685,66992,Music,0.142857
686,57269,Drama,0.5
687,40110,Romance,1
688,57324,Documentary,1
689,78803,Musical,0.0714286
690,48537,Short,1
691,24360,Documentary,1
692,27644,Short,0.4
693,86320,Drama,0.142857
694,76987,Romance,0.166667
695,19315,War,0.5
696,17199,Comedy,0.166667
697,54076,Comedy,1
698,35573,Fantasy,0.153846
699,68766,Short,1
700,27312,Short,0.166667
701,22679,Animation,1
702,73585,Drama,0.222222
703,11143,Family,0.1
704,59413,Thriller,0.2
705,60769,War,0.0322581
706,29523,Musical,0.166667
707,31557,Short,1
708,8376,Documentary,0.5
709,81743,Drama,1
710,49145,Animation,1
711,22328,Adventure,0.027027
712,49757,Adult,1
713,64763,Drama,0.5
714,31799,Drama,1
715,64252,Romance,0.5
716,42929,Documentary,1
717,73253,Drama,1
718,22798,Romance,1
719,30194,Action,0.0909091
720,34731,Adventure,1
721,36192,Horror,0.25
722,18225,Mystery,0.0689655
723,17876,Crime,0.333333
724,23309,Drama,1
725,17233,Short,1
726,74154,Music,0.1
727,6788,Comedy,1
728,41707,Short,1
729,8743,Short,0.6
730,87074,Short,0.333333
731,54110,Short,0.5
732,68497,Romance,0.0625
733,19064,Drama,0.5
734,31522,Documentary,1
735,27277,Documentary,0.75
736,27445,Thriller,1
737,60827,Musical,0.0625
738,35767,Documentary,1
739,2084,Drama,0.285714
740,70587,War,0.125
741,81134,Documentary,0.5
742,68833,Mystery,0.375
743,1657,Family,0.111111
744,5791,Documentary,1
745,85395,Drama,1
746,72992,Drama,0.538462
747,40028,Drama,0.6
748,3151,Drama,0.5
749,22439,Documentary,1
750,65722,Animation,1
751,50458,Short,1
752,44273,Drama,0.424242
753,8116,Comedy,0.818182
754,27293,Drama,1
755,59648,Documentary,0.2
756,2819,Drama,0.545455
757,80639,Romance,0.6
758,7482,Mystery,0.5
759,37723,Short,0.2
760,76905,Drama,1
761,29565,Short,1
762,45018,Thriller,0.5
763,33478,Short,1
764,25963,Crime,0.047619
765,59925,Drama,1
766,56900,Animation,1
767,5402,Crime,0.25
768,28345,Comedy,1
769,17473,Crime,0.333333
770,59082,Romance,0.5
771,21044,Sci-Fi,1
772,19855,Comedy,1
773,23048,Drama,0.666667
774,31261,Documentary,1
775,58253,Sci-Fi,1
776,43664,Documentary,0.346154
777,8340,Short,1
778,51435,Drama,0.25
779,53707,Short,0.980769
780,2393,Musical,1
781,85118,Documentary,0.166667
782,4064,Sci-Fi,1
783,80873,Documentary,1
784,47190,Drama,0.4
785,29048,Family,0.642857
786,88644,Drama,1
787,57921,Sci-Fi,1
788,55071,Action,0.5
789,50898,Comedy,1
790,82462,Action,0.428571
791,84067,Drama,0.714286
792,39352,Sci-Fi,0.333333
793,2277,Fantasy,0.1
794,5736,Drama,1
795,14909,Short,1
796,84853,Fantasy,0.5
797,6419,Short,0.5
798,18822,Short,0.307692
799,24543,Musical,0.04
800,5199,Comedy,0.09375
801,58929,Drama,0.75
802,47541,Short,1
803,69727,Action,0.25
804,954,Comedy,0.2
805,21443,Documentary,0.5
806,67419,Drama,0.166667
807,22704,Sci-Fi,0.333333
808,38189,Romance,0.0434783
809,84418,Short,1
810,29601,Documentary,1
811,42576,Animation,0.4
812,4867,Comedy,0.230769
813,35599,Horror,0.166667
814,1842,Short,0.1
815,58228,Animation,0.666667
816,46194,Drama,1
817,36542,Family,0.5
818,86947,Animation,1
819,622,Comedy,1
820,59280,Short,1
821,45351,Romance,0.153846
822,55470,Fantasy,0.5
823,83071,Drama,0.775
824,70488,Thriller,0.0526316
825,62305,Comedy,1
826,66218,Comedy,0.521739
827,20851,Comedy,0.5
828,88102,Fantasy,0.166667
829,42628,Adventure,0.666667
830,51852,Western,1
831,33952,Short,0.25
832,66597,Documentary,1
833,33633,Documentary,1
834,10518,Mystery,1
835,18508,Western,0.111111
836,21230,Documentary,0.166667
837,28703,Animation,1
838,42490,Short,1
839,78336,Action,0.5
840,21597,Short,1
841,1001,Documentary,1
842,1529,War,0.0526316
843,34574,Drama,0.4
844,75087,Documentary,1
845,65545,Music,0.25
846,41295,Thriller,1
847,52961,Comedy,1
848,61632,Music,0.333333
849,59596,Fantasy,0.0714286
850,78172,Thriller,0.5
851,39901,Mystery,0.0909091
852,67206,Drama,0.5
853,63030,Crime,1
854,26084,Drama,0.166667
855,5578,Documentary,1
856,46382,Crime,0.166667
857,35981,Comedy,1
858,25475,Action,0.0625
859,9823,Documentary,1
860,31917,Music,0.4
861,18273,Adventure,0.5
862,8530,Short,0.5
863,50144,Western,0.166667
864,13017,Drama,0.904762
865,58866,Comedy,1
866,61942,Musical,1
867,15099,Short,1
868,81027,Short,1
869,85915,Crime,0.333333
870,41736,Drama,1
871,20820,Musical,1
872,54287,Horror,0.5
873,45138,Romance,0.0491803
874,10854,Short,0.5
875,81338,Crime,0.25
876,65601,Documentary,1
877,74368,Drama,0.666667
878,34608,Animation,1
879,49285,Documentary,1
880,41886,Comedy,1
881,82858,Drama,0.142857
882,37491,Drama,0.458333
883,12258,Family,0.666667
884,35971,Crime,0.15
885,76450,Short,1
886,36316,Romance,0.5
887,32914,Drama,0.6
888,57638,Western,0.0588235
889,20511,Drama,1
890,83008,Comedy,1
891,41087,Adventure,1
892,5671,Horror,0.166667
893,31394,Crime,0.5
894,12576,Thriller,0.833333
895,51312,Short,0.5
896,5774,War,0.5
897,12835,Comedy,0.5
898,37174,Adventure,0.0555556
899,37159,Drama,0.333333
900,62520,Thriller,1
901,19902,Action,1
902,14103,Short,1
903,38577,Short,1
904,28669,Drama,0.5
905,50980,Short,1
906,32004,Adventure,1
907,36564,Crime,0.05
908,39299,Horror,1
909,35589,Short,1
910,50378,Thriller,0.0384615
911,21246,Drama,0.5
912,62618,Western,0.5
913,27230,Comedy,1
914,60395,Short,1
915,68352,Comedy,0.0666667
916,5486,Animation,1
917,18941,Short,1
918,32336,Adventure,0.142857
919,31344,Short,0.333333
920,81988,Documentary,1
921,57791,Drama,0.294118
922,77743,Documentary,1
923,33138,Romance,0.259259
924,3657,Documentary,0.8
925,26236,Thriller,0.333333
926,30624,Animation,1
927,7902,Documentary,1
928,15684,Sci-Fi,1
929,21991,Thriller,0.333333
930,60063,Short,0.666667
931,2440,Family,0.5
932,18609,Short,1
933,84537,Short,1
934,24550,Documentary,1
935,10250,Comedy,0.166667
936,10451,Short,1
937,55818,Short,1
938,54714,Adult,1
939,9918,Comedy,0.166667
940,47127,Comedy,0.32
941,25995,Adult,1
942,20637,Documentary,1
943,37786,Animation,1
944,39170,Short,1
945,5673,Comedy,0.1
946,43876,Horror,0.571429
947,69530,Drama,0.222222
948,74628,Music,1
949,24163,Drama,0.333333
950,52034,Horror,1
951,10119,Short,1
952,76047,Short,0.111111
953,70249,Documentary,1
954,54766,Animation,1
955,29485,Thriller,0.4
956,1629,Short,1
957,74494,Documentary,0.0833333
958,2422,Horror,1
959,28408,Drama,0.333333
960,5874,Short,1
961,55624,Mystery,0.25
962,33004,Short,1
963,76083,Documentary,1
964,69680,Comedy,0.5
965,41805,Crime,0.666667
966,61040,Drama,0.6
967,15341,Drama,0.166667
968,65101,Horror,0.75
969,25157,Crime,0.5
970,47696,Documentary,0.25
971,10487,Documentary,1
972,76375,Adventure,1
973,24514,Short,1
974,84905,Documentary,0.25
975,24684,Music,0.25
976,73074,Animation,1
977,49976,Sci-Fi,1
978,80937,Drama,1
979,85664,Comedy,0.5
980,85865,Short,1
981,6007,Thriller,0.117647
982,76692,Drama,0.25
983,48130,Mystery,0.0588235
984,85182,Drama,0.735294
985,78363,Sci-Fi,0.1
986,39640,Mystery,0.142857
987,6866,Adventure,0.5
988,45204,Horror,1
989,68202,Drama,1
990,57457,Crime,0.5
991,77174,Comedy,1
992,86326,Horror,1
993,11447,Short,1
994,56094,Animation,0.444444
995,40959,Horror,0.111111
996,35720,Comedy,1
997,24506,Sci-Fi,1
998,85190,Comedy,0.5
999,72787,Comedy,0.5
1000,31486,Short,1
1001,27815,Drama,0.75
1002,3341,Drama,1
1003,10226,Documentary,1
1004,77643,Fantasy,0.333333
1005,53087,Adventure,0.375
1006,51715,Short,1
1007,31810,Sci-Fi,0.125
1008,16210,Adventure,0.333333
1009,35546,Family,1
1010,55925,Documentary,0.181818
1011,67000,Action,0.2
1012,6016,Short,0.777778
1013,38980,Short,1
1014,88114,Mystery,0.0217391
1015,27206,Documentary,0.111111
1016,80745,Crime,0.272727
1017,88439,Comedy,1
1018,22511,Comedy,1
1019,1771,Short,1
1020,67699,Short,0.0277778
1021,66504,Thriller,0.5
1022,60880,Adult,1
1023,51348,Action,0.333333
1024,40859,Musical,1
1025,80676,Drama,0.526316
1026,47712,Drama,1
1027,11222,Documentary,1
1028,38042,Horror,0.333333
1029,50020,Documentary,1
1030,86518,Comedy,0.333333
1031,30732,Drama,1
1032,71854,Drama,0.477612
1033,37617,Documentary,1
1034,70581,Documentary,1
1035,79071,Documentary,1
1036,74826,Documentary,1
1037,63364,Drama,1
1038,21815,Family,0.25
1039,18106,War,0.333333
1040,65446,Short,0.857143
1041,32761,Western,0.5
1042,26155,Drama,1
1043,3431,Short,0.8
1044,12147,Action,1
1045,87956,Music,0.333333
1046,46224,Adult,1
1047,22242,Drama,1
1048,39688,Adventure,1
1049,61201,Short,1
1050,86995,Romance,0.0655738
1051,44553,Short,0.5
1052,85197,Mystery,0.5
1053,36063,Short,1
1054,21910,Drama,0.5
1055,57631,Adult,1
1056,34868,Thriller,0.5
1057,30455,Documentary,1
1058,21399,Romance,0.2
1059,25491,Drama,1
1060,45957,Family,0.125
1061,56018,Horror,0.047619
1062,1736,Documentary,1
1063,52565,Mystery,0.25
1064,13420,Drama,0.333333
1065,87506,Drama,1
1066,47103,Documentary,1
1067,75103,Drama,0.666667
1068,75822,Documentary,1
1069,60716,Comedy,0.181818
1070,17154,Romance,0.258929
1071,81277,Comedy,0.333333
1072,4243,Musical,0.333333
1073,42874,Drama,1
1074,9910,Drama,1
1075,73865,Short,0.142857
1076,29628,Romance,0.5
1077,174,Animation,1
1078,45541,Animation,1
1079,909,Romance,0.5
1080,45146,Short,1
1081,47119,Drama,1
1082,80083,Drama,0.703704
1083,69988,Action,1
1084,37135,Family,1
1085,3692,Short,1
1086,82023,Short,1
1087,46392,Comedy,0.125
1088,38629,Drama,1
1089,12909,Animation,1
1090,87730,Romance,0.5
1091,77778,Short,0.25
1092,72723,Adventure,0.25
1093,79024,Comedy,1
1094,25894,Drama,1
1095,74779,Comedy,1
1096,25167,Comedy,0.5
1097,27834,Short,0.5
1098,40091,Adventure,0.125
1099,6941,Short,1
1100,18123,Documentary,1
